% Model:              cuff_3d_14electrodes.mph
% Version:            COMSOL 5.3.0.260
% Date:               Oct 1 2019, 23:05
% Dimension:          3
% Nodes:              23104
% Expressions:        1
% Description:        Electric potential
% Length unit:        m
% X                       Y                        Z                        V (V)
-6.999999999999997E-5     -0.00151                 0                        1.5797563776492283
-4.9999999999999914E-5    -0.00151                 0                        1.6865694847578099
-2.9999999999999862E-5    -0.00151                 0                        1.809588379000834
-1.0000000000000026E-5    -0.00151                 0                        1.9476907373365184
1.0000000000000026E-5     -0.00151                 0                        2.134238677070111
3.000000000000008E-5      -0.00151                 0                        2.317386402300261
5.000000000000013E-5      -0.00151                 0                        2.571428343098475
6.999999999999997E-5      -0.00151                 0                        2.9031749208965665
9.000000000000002E-5      -0.00151                 0                        3.0063769455726193
1.1000000000000007E-4     -0.00151                 0                        3.0092680250129185
1.3000000000000012E-4     -0.00151                 0                        3.014081472910974
1.5000000000000018E-4     -0.00151                 0                        3.0094723251403535
1.7E-4                    -0.00151                 0                        2.985031728850188
1.9000000000000006E-4     -0.00151                 0                        2.9566712451399413
2.1000000000000012E-4     -0.00151                 0                        2.925146674433134
2.3000000000000017E-4     -0.00151                 0                        2.8854592973071376
2.5E-4                    -0.00151                 0                        2.8423712641021766
2.7000000000000006E-4     -0.00151                 0                        2.7959284984220005
2.900000000000001E-4      -0.00151                 0                        2.7453172151978373
3.1000000000000016E-4     -0.00151                 0                        2.691171292076045
3.3E-4                    -0.00151                 0                        2.633790711437125
3.5000000000000005E-4     -0.00151                 0                        2.572301999915894
3.700000000000001E-4      -0.00151                 0                        2.5066136621568296
3.9000000000000016E-4     -0.00151                 0                        2.4369941046834254
4.100000000000002E-4      -0.00151                 0                        2.3634455371537766
4.3000000000000004E-4     -0.00151                 0                        2.2840140556747635
4.500000000000003E-4      -0.00151                 0                        2.199247470258576
4.6999999999999993E-4     -0.00151                 0                        2.1098714315010265
4.9E-4                    -0.00151                 0                        2.0149513524857134
5.1E-4                    -0.00151                 0                        1.9154769603460304
5.300000000000001E-4      -0.00151                 0                        1.8114633788366694
5.500000000000001E-4      -0.00151                 0                        1.7024748714654065
5.700000000000002E-4      -0.00151                 0                        1.578013213965827
5.900000000000002E-4      -0.00151                 0                        1.4516262633546395
